geo_code,geo,time,poblacion
CY,Cyprus,2007,757916
CZ,Czechia,2007,10254233
DE,Germany (until 1990 former territory of the FRG),2007,82314906
DK,Denmark,2007,5447084
EE,Estonia,2007,1342920
EL,Greece,2007,11036008
ES,Spain,2007,44784666
FI,Finland,2007,5276955
FR,France,2007,63645065
HR,Croatia,2007,4313530
HU,Hungary,2007,10066158
IE,Ireland,2007,4340118
IS,Iceland,2007,307672
IT,Italy,2007,58223744
LI,LI Liechtenstein,2007,35168
LT,Lithuania,2007,3249983
LU,LU Luxembourg,2007,476187
LV,Latvia,2007,2208840
ME,Montenegro,2007,614624
MK,North Macedonia,2007,2041941
MT,MT Malta,2007,405616
NL,Netherlands,2007,16357992
NO,Norway,2007,4681134
PL,Poland,2007,38125479
PT,Portugal,2007,10532588
RO,Romania,2007,21130503
RS,Serbia,2007,7397651
SE,Sweden,2007,9113257
SI,Slovenia,2007,2010377
SK,Slovakia,2007,5373180
TR,Türkiye,2007,69729967
UK,United Kingdom,2007,61073279
AL,Albania,2006,3003329
AT,Austria,2006,8254298
BE,Belgium,2006,10511382
BG,Bulgaria,2006,7629371
CH,Switzerland,2006,7459128
CY,Cyprus,2006,744013
CZ,Czechia,2006,10223577
DE,Germany (until 1990 former territory of the FRG),2006,82437995
DK,Denmark,2006,5427459
EE,Estonia,2006,1350700
EL,Greece,2006,11004716
ES,Spain,2006,44009971
FI,Finland,2006,5255580
FR,France,2006,63229635
HR,Croatia,2006,4312487
HU,Hungary,2006,10076581
IE,Ireland,2006,4208156
IS,Iceland,2006,299891
IT,Italy,2006,58064214
LI,LI Liechtenstein,2006,34905
LT,Lithuania,2006,3289835
LU,LU Luxembourg,2006,469086
LV,Latvia,2006,2227874
ME,Montenegro,2006,613109
MK,North Macedonia,2006,2038514
MT,MT Malta,2006,404999
NL,Netherlands,2006,16334210
NO,Norway,2006,4640219
PL,Poland,2006,38157055
PT,Portugal,2006,10511988
RO,Romania,2006,21257016
RS,Serbia,2006,7425487
SE,Sweden,2006,9047752
SI,Slovenia,2006,2003358
SK,Slovakia,2006,5372928
TR,Türkiye,2006,68860539
UK,United Kingdom,2006,60620361
AL,Albania,2005,3019634
AT,Austria,2005,8201359
BE,Belgium,2005,10445852
BG,Bulgaria,2005,7688573
CH,Switzerland,2005,7415102
CY,Cyprus,2005,733067
CZ,Czechia,2005,10198855
DE,Germany (until 1990 former territory of the FRG),2005,82500849
DK,Denmark,2005,5411405
EE,Estonia,2005,1358850
EL,Greece,2005,10969912
ES,Spain,2005,43296338
FI,Finland,2005,5236611
FR,France,2005,62772870
HR,Croatia,2005,4310861
HU,Hungary,2005,10097549
IE,Ireland,2005,4111672
IS,Iceland,2005,293577
IT,Italy,2005,57874753
LI,LI Liechtenstein,2005,34600
LT,Lithuania,2005,3355220
LU,LU Luxembourg,2005,461230
LV,Latvia,2005,2249724
ME,Montenegro,2005,613420
MK,North Macedonia,2005,2035196
MT,MT Malta,2005,402668
NL,Netherlands,2005,16305526
NO,Norway,2005,4606363
PL,Poland,2005,38173835
PT,Portugal,2005,10494672
RO,Romania,2005,21382354
RS,Serbia,2005,7456050
SE,Sweden,2005,9011392
SI,Slovenia,2005,1997590
SK,Slovakia,2005,5372685
TR,Türkiye,2005,68010221
UK,United Kingdom,2005,60182050
AL,Albania,2004,3034231
AT,Austria,2004,8142573
BE,Belgium,2004,10396421
BG,Bulgaria,2004,7745147
CH,Switzerland,2004,7364148
CY,Cyprus,2004,722893
CZ,Czechia,2004,10195347
DE,Germany (until 1990 former territory of the FRG),2004,82531671
DK,Denmark,2004,5397640
EE,Estonia,2004,1366250
EL,Greece,2004,10940369
ES,Spain,2004,42547451
FI,Finland,2004,5219732
FR,France,2004,62292241
HR,Croatia,2004,4305725
HU,Hungary,2004,10116742
IE,Ireland,2004,4028851
IS,Iceland,2004,290570
IT,Italy,2004,57495900
LI,LI Liechtenstein,2004,34294
LT,Lithuania,2004,3398929
LU,LU Luxembourg,2004,454960
LV,Latvia,2004,2276520
ME,Montenegro,2004,612214
MK,North Macedonia,2004,2029892
MT,MT Malta,2004,399867
NL,Netherlands,2004,16258032
NO,Norway,2004,4577457
PL,Poland,2004,38190608
PT,Portugal,2004,10473050
RO,Romania,2004,21521142
RS,Serbia,2004,7470263
SE,Sweden,2004,8975670
SI,Slovenia,2004,1996433
SK,Slovakia,2004,5371875
TR,Türkiye,2004,67187251
UK,United Kingdom,2004,59793759
AL,Albania,2003,3044993
AT,Austria,2003,8100273
BE,Belgium,2003,10355844
BG,Bulgaria,2003,7805506
CH,Switzerland,2003,7313853
CY,Cyprus,2003,713720
CZ,Czechia,2003,10192649
DE,Germany (until 1990 former territory of the FRG),2003,82536680
DK,Denmark,2003,5383507
EE,Estonia,2003,1375190
EL,Greece,2003,10915770
ES,Spain,2003,41827838
FI,Finland,2003,5206295
FR,France,2003,61864088
HR,Croatia,2003,4305384
HU,Hungary,2003,10142362
IE,Ireland,2003,3964191
IS,Iceland,2003,288471
IT,Italy,2003,57130506
LI,LI Liechtenstein,2003,33863
LT,Lithuania,2003,3431497
LU,LU Luxembourg,2003,448300
LV,Latvia,2003,2299390
ME,Montenegro,2003,610510
MK,North Macedonia,2003,2023654
MT,MT Malta,2003,397296
NL,Netherlands,2003,16192572
NO,Norway,2003,4552252
PL,Poland,2003,38218531
PT,Portugal,2003,10444592
RO,Romania,2003,21627509
RS,Serbia,2003,7490918
SE,Sweden,2003,8940788
SI,Slovenia,2003,1995033
SK,Slovakia,2003,5374873
TR,Türkiye,2003,66401851
UK,United Kingdom,2003,59501394
AL,Albania,2002,3057018
AT,Austria,2002,8063640
BE,Belgium,2002,10309725
BG,Bulgaria,2002,7868815
CH,Switzerland,2002,7255653
CY,Cyprus,2002,705539
CZ,Czechia,2002,10201182
DE,Germany (until 1990 former territory of the FRG),2002,82440309
DK,Denmark,2002,5368354
EE,Estonia,2002,1383510
EL,Greece,2002,10888274
ES,Spain,2002,41035278
FI,Finland,2002,5194901
FR,France,2002,61424036
HR,Croatia,2002,4305494
HU,Hungary,2002,10174853
IE,Ireland,2002,3899702
IS,Iceland,2002,286575
IT,Italy,2002,56987507
LI,LI Liechtenstein,2002,33525
LT,Lithuania,2002,3454637
LU,LU Luxembourg,2002,444050
LV,Latvia,2002,2320956
ME,Montenegro,2002,608460
MK,North Macedonia,2002,2038651
MT,MT Malta,2002,394641
NL,Netherlands,2002,16105285
NO,Norway,2002,4524066
PL,Poland,2002,38242197
PT,Portugal,2002,10394669
RO,Romania,2002,21833483
RS,Serbia,2002,7502126
SE,Sweden,2002,8909128
SI,Slovenia,2002,1994026
SK,Slovakia,2002,5378951
TR,Türkiye,2002,65603160
UK,United Kingdom,2002,59239564
AL,Albania,2001,3063318
AT,Austria,2001,8020946
BE,Belgium,2001,10263414
BG,Bulgaria,2001,8149468
CH,Switzerland,2001,7204055
